SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET7511,VELMESHEV_2019_NEU_NRGN_I,7.01636987224523e-40,3.18332701103766e-36,1.64704014100292,-0.58193870826328,-3.36798703412279,327,THY1|ACOT7|CHCHD10|TUBA1B|RTN1|TTC9B|PGAM1|TUBA4A|PRKAR1B|GNAS|TMEM130|CHGA|MGST3|CMAS|REEP5|FXYD7|PCSK1N|LDHB|ATP6V0D1|C1QTNF4|SV2A|SULT4A1|STMN3|GOT1|SOD1|TUBA1A|HINT1|B4GAT1|NSF|SYT4|ENO1|BSG|CLSTN3|FAIM2|ATP5MPL|COX4I1|SLC12A5|PHYHIP|GUK1|CKB|VDAC1|ATP1A3|RAB3C|UQCR10|DNM1|GAPDH|RCN2|RAB3A|ATP9A|MDH1|HSPA8|CLU|ALDOA|ATL1|WASF1|SEZ6L2|COX5B|CRMP1|CEND1|TUBB2A|UCHL1|TUBB4B|SLC22A17|OLFM1|ACTG1|NCDN|BEX4|ATP6V0B|GNG3|PPP2R1A|SLC17A7|SYT1|CALM3|PCP4|SPOCK2|AP1S1|MAP1LC3A|DYNLL1|CHN1|GABBR1|YWHAB|SPARCL1|APLP1|PSMA7|CYCS|KLC1|MTCH1|SYN2|RABAC1|EIF1|ARHGDIG|RHBDD2|PIN1|VDAC3|ACTB|ATP6AP1|ITM2C|SELENOW|ARF5|PCMT1|RTN3|NDRG4|ATP6V0E2|AP2S1|RAN|NEFL|SYNGR1|CX3CL1|CAMKV|TMEM59L|NAP1L2|ATP6V1F|MAPK1|USP11|UBB|OCIAD1|CPE|LY6H|PKM|SLC8A2|GABARAPL2|SUB1|TSPAN7|STMN1|TPI1|HSP90AA1|FLOT1|PEBP1|PLD3|PGRMC1|SPCS1|RAB6B|SNCB|FKBP8|ARL6IP5|PREPL|PSAP|SLC25A3|SARAF|SNX10|STX1A|NDUFA4|SYP|SRP14|NORAD|NAPB|RTL8C|YWHAH|ATP6V1C1|SCN3B|ATP6AP2|SCAMP5|CDC42|YWHAG|ATP6V1B2|TMEM30A|SKP1|TUBB4A|CAMK2B|GAP43|TSPAN13|GDA|COX7C|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|NDFIP2|SLC6A17|DYNC1H1|SIRPA|YWHAZ|NSG2|RTN4|MOAP1|SNX3|TMX4|NELL2|TMSB4X|DDX24|ADGRB2|SLC9A6|UQCRH|TMEM160|LDHA|VPS35|PINK1|PPP3CB|BRK1|GRINA|SYT5|GHITM|TMA7|APLP2|HPCA|SCOC|LONRF2|STMN4|WSB2|TSC22D1|CLSTN1|ATP1A1|TMEM14A|ITM2B|USP22|GABBR2|ATP6V1E1|HSPH1|ANXA6|SLC39A10|SYT11|TOLLIP|TM2D3|APP|TLE5
MOSET7512,VELMESHEV_2019_NEU_NRGN_II,5.27956091773674e-34,1.19766839418858e-30,1.51610760180865,-0.56635718082345,-3.26834701259129,297,THY1|TUBA1B|RTN1|CYP46A1|PGAM1|TUBA4A|PRKAR1B|GNAS|TMEM130|CHGA|CMAS|REEP5|FXYD7|PCSK1N|LDHB|ATP6V0D1|C1QTNF4|SV2A|SULT4A1|STMN3|GOT1|SOD1|TUBA1A|ATP6V0A1|HINT1|B4GAT1|NSF|SYT4|ENO1|BSG|CLSTN3|FAIM2|PRKACB|ATP5MPL|COX4I1|SLC12A5|PHYHIP|GUK1|CKB|VDAC1|ATP1A3|RAB3C|UQCR10|DNM1|GAPDH|RAB3A|ATP9A|MDH1|HSPA8|CLU|ALDOA|ATL1|WASF1|SEZ6L2|CRMP1|TUBB2A|UCHL1|SLC22A17|OLFM1|ACTG1|NCDN|BEX4|ATP6V0B|GNG3|PPP2R1A|SLC17A7|SYT1|CALM3|SPOCK2|MAP1LC3A|DYNLL1|CHN1|YWHAB|SPARCL1|APLP1|CYCS|KLC1|PAK1|MTCH1|SYN2|RABAC1|EIF1|RHBDD2|ACTB|ATP6AP1|KIFAP3|ITM2C|SELENOW|PCMT1|RTN3|NDRG4|ATP6V0E2|AP2S1|NEFL|SYNGR1|CX3CL1|CAMKV|TMEM59L|CNTN1|ATP6V1F|MAPK1|USP11|UBB|OCIAD1|CPE|LY6H|PKM|NRXN2|SLC8A2|GABARAPL2|SUB1|TSPAN7|STMN1|TPI1|HSP90AA1|PEBP1|PLD3|PGRMC1|RAB6B|SNCB|ARL6IP5|PREPL|PSAP|SLIT1|SARAF|SNX10|NDUFA4|SYP|SRP14|NORAD|NAPB|NPTN|PAK3|YWHAH|SCN3B|ATP6AP2|SCAMP5|YWHAG|ATP6V1B2|TMEM30A|SKP1|TUBB4A|CAMK2B|GAP43|TSPAN13|GDA|COX7C|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|SLC6A17|DYNC1H1|YWHAZ|NSG2|RTN4|MOAP1|SNX3|NELL2|TMSB4X|DDX24|SLC9A6|UQCRH|TMEM160|LDHA|PPP3CB|BRK1|NGEF|GHITM|TMA7|GLRB|APLP2|SCOC|LONRF2|TSC22D1|CLSTN1|ATP1A1|TMEM14A|ITM2B|GABBR2|ATP6V1E1|HSPH1|GABRG2
MOSET7758,JAKEL_2019_NEURON4,3.49052172994566e-31,5.27883236292115e-28,1.45334466856494,-0.49039515364367,-2.86467230837177,435,THY1|ACOT7|CHCHD10|TUBA1B|RTN1|COX6B1|MRPS21|TUBA4A|PRKAR1B|CALY|CD99L2|NCEH1|PITHD1|GNAS|TMEM130|CHGA|REEP5|NDUFS5|ATP5MD|FXYD7|PCSK1N|LDHB|NDUFA1|SYNGR3|ATP6V0D1|SV2A|SULT4A1|STMN3|GOT1|DIRAS1|COX6C|SOD1|RANGAP1|ATP6V0A1|DDAH1|HINT1|B4GAT1|NSF|SYT4|ENO1|CLSTN3|FAIM2|MAP2K1|ATP5MPL|COX4I1|SLC12A5|PHYHIP|MAPRE3|CKB|VDAC1|ATP1A3|RAB3C|UQCR10|DNM1|GAPDH|RAB3A|ENTPD6|ATP9A|MDH1|CLU|ALDOA|ATL1|WASF1|SEZ6L2|EIF1B|CEND1|TUBB2A|REEP2|UCHL1|TUBB4B|SLC22A17|PGK1|OLFM1|MAP1A|CAMK2G|BEX4|FAM217B|MAPK8IP2|GNG3|PPP2R1A|SLC17A7|SYT1|CALM3|SPRYD3|SPOCK2|SLC25A4|MAP1LC3A|DYNLL1|PYGB|CHN1|UBQLN2|CHCHD2|YWHAB|SPARCL1|SCN2B|CYCS|CISD1|PAK1|IQSEC1|ARHGDIG|RHBDD2|PIN1|UQCRB|OAT|ACO2|ATP6AP1|SNRPN|KIFAP3|ITM2C|SELENOW|RTN3|NDRG4|ATP6V0E2|AP2S1|RAN|PTPRN2|NEFL|SYNGR1|EEF1A2|TMEM59L|NAP1L2|ATP6V1F|MAPK1|USP11|OCIAD1|CPE|LY6H|PKM|NRXN2|SUB1|TSPAN7|TPI1|NBL1|HSP90AA1|FLOT1|PEBP1|PLD3|PGRMC1|RNF187|RAB6B|SNCB|FKBP8|ARL6IP5|PREPL|PSAP|SLC25A3|NAT8L|SARAF|SNX10|NDUFA4|SYP|CLTB|KLC2|DYNLL2|NORAD|NAPB|NPTN|PTPA|MAPK8IP3|PDXK|PAK3|FEM1B|RTL8C|YWHAH|RETREG2|ATP6AP2|SCAMP5|YWHAG|SNAP91|GABARAPL1|TMEM30A|SKP1|AMPH|CAMK2B|GAP43|COX7C|MAGED1|MRFAP1|SCRN1|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|NDFIP2|SLC6A17|DYNC1H1|SIRPA|YWHAZ|RTN4|TMX4|NELL2|DDX24|NCKAP1|EIF5A|MAST3|SLC9A6|UQCRH|TMEM160|PRKCE|LDHA|ABR|NAPA|MAP1LC3B|SUMO3|NEFH|VPS35|NUDCD3|RBX1|PINK1|TSPYL4|PPP3CB|BRK1|GRINA|MICU3|GHITM|TMA7|GNB1|CBX6|SPTAN1|APLP2|WDR82|CTBP1|SCOC|CDIP1|SCAMP1|LONRF2|TSC22D1|CLSTN1|TMEM14A|USP22|GABBR2|ATP6V1E1|HSPH1|GABRG2|HK1|EID1|SLC39A10|SYT11|CANX|TOLLIP|HACD3|SYBU|NAP1L3|TLE5
MOSET7191,LAKE_2018_EX3E_DE_EX_CLUSTERS,1.53741493495635e-27,1.74381288997424e-24,1.36517960216169,-0.53740439759538,-3.09561569537271,284,THY1|TUBA1B|RTN1|TUBA4A|PRKAR1B|GNAS|TMEM130|CHGA|BAALC|REEP5|ATP5MD|NDUFB2|ELOB|LDHB|NDUFA1|DMTN|SULT4A1|STMN3|COX6C|SOD1|MT3|TUBA1A|ATP6V0A1|HINT1|NSF|SYT4|ENO1|FAIM2|ATP5MPL|COX4I1|SLC12A5|GUK1|RPS28|CKB|RAB3C|DNM1|GAPDH|RAB3A|ATP9A|MDH1|HSPA8|CLU|ALDOA|ATL1|SEZ6L2|COX5B|TUBB2A|UCHL1|SLC22A17|OLFM1|ACTG1|NCDN|UBC|BEX4|ATP6V0B|OPTN|SLC17A7|CALM3|NDUFA10|PDE2A|MAP1LC3A|DYNLL1|CHN1|YWHAB|SPARCL1|APLP1|KLC1|MTCH1|EIF1|RHBDD2|ACTB|ATP6AP1|ITM2C|SELENOW|PCMT1|RTN3|NDRG4|NEFL|SYNGR1|PLEKHB2|CAMKV|TMEM59L|RPLP1|NAP1L2|MAPK1|USP11|TPPP|NDUFV1|UBB|OCIAD1|PKM|GABARAPL2|BLCAP|TSPAN7|STMN1|TPI1|MFSD6|HSP90AA1|PEBP1|PLD3|CNRIP1|RAB6B|PREPL|PSAP|SLIT1|SLC25A3|SARAF|STX1A|NDUFA4|SRP14|DYNLL2|TRIM37|NORAD|NAPB|NPTN|YWHAH|APBB1|SCN3B|ATP6AP2|YWHAG|ATP6V1B2|GABARAPL1|TMEM30A|SKP1|SYT7|GAP43|HSPA12A|GDA|COX7C|SCRN1|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|NDFIP2|SIRPA|YWHAZ|NSG2|RTN4|MOAP1|TMSB4X|UQCRH|TMEM160|FEZ1|TSPYL4|PPP3CB|RIMS3|RAP1GAP|GHITM|APLP2|VPS41|TSC22D1|CLSTN1|ATP1A1|ITM2B|ATP6V1E1|HSPH1|HSP90B1|RPS27|EID1|SLC39A10|SYT11|TOLLIP|FHL1|APP
MOSET7156,LAKE_2018_EX3E,3.98407600836545e-25,3.61515056999081e-22,1.30309315086572,-0.489243860331458,-2.8333421186908,353,THY1|TUBA1B|RPL38|SLC6A7|RTN1|TUBA4A|PRKAR1B|GNAS|TMEM130|CHGA|BAALC|REEP5|ATP5MD|NDUFB2|ELOB|LDHB|NDUFA1|DMTN|SV2A|SULT4A1|STMN3|COX6C|SOD1|MT3|TUBA1A|ATP6V0A1|HINT1|NSF|SYT4|ENO1|FAIM2|ATP5MPL|COX4I1|SLC12A5|PHYHIP|GUK1|RPS28|CKB|DNM1|GAPDH|RAB3A|ATP9A|MDH1|HSPA8|CLU|ALDOA|ATL1|WASF1|SEZ6L2|COX5B|TUBB2A|UCHL1|SLC22A17|OLFM1|ACTG1|NCDN|UBC|BEX4|ATP6V0B|OPTN|SLC17A7|SYT1|CALM3|NDUFA10|PDE2A|MAP1LC3A|DYNLL1|CHN1|YWHAB|SPARCL1|APLP1|KLC1|PAK1|MTCH1|SYN2|EIF1|RHBDD2|ACTB|ATP6AP1|KIFAP3|ITM2C|SELENOW|PCMT1|RTN3|NDRG4|NEFL|NISCH|SYNGR1|PLEKHB2|CAMKV|TMEM59L|RPLP1|NAP1L2|MAPK1|USP11|TPPP|NDUFV1|UBB|OCIAD1|PKM|GABARAPL2|BLCAP|TSPAN7|STMN1|TPI1|MFSD6|HSP90AA1|PEBP1|PLD3|CNRIP1|RAB6B|PREPL|PSAP|SLIT1|SLC25A3|SARAF|STX1A|NDUFA4|SYP|SRP14|DYNLL2|TRIM37|NORAD|NAPB|NPTN|KCNQ2|PAK3|YWHAH|APBB1|SCN3B|ATP6AP2|SCAMP5|YWHAG|ATP6V1B2|GABARAPL1|TMEM30A|SKP1|SYT7|CAMKK2|CAMK2B|GAP43|HSPA12A|GDA|COX7C|SCRN1|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|NDFIP2|DYNC1H1|SIRPA|YWHAZ|NSG2|RTN4|MOAP1|NELL2|TMSB4X|NCKAP1|MAST3|UQCRH|TMEM160|DCAF6|FEZ1|TSPYL4|PPP3CB|RIMS3|NGEF|RAP1GAP|GHITM|ADD2|APLP2|UNC13A|VPS41|LONRF2|BMERB1|TSC22D1|CLSTN1|ATP1A1|ITM2B|USP22|ATP6V1E1|HSPH1|GABRG2|HSP90B1|RPS27|EID1|SLC39A10|SYT11|TOLLIP|FHL1|SYBU|APP
MOSET47,OLDHAM_CORTEX_MODULE_GREEN,3.19009578914168e-24,2.41224409922263e-21,1.27903397725049,-0.574375510495536,-3.24819955420877,198,THY1|FBXO2|NRSN2|CYP46A1|L1CAM|ATP6V0C|PRKAR1B|CALY|MAP1S|FXYD7|DMTN|CNTNAP1|ATP6V0A1|HGS|PRAF2|PHYHIP|CPNE6|HRAS|PRKCD|RAB3A|IDH3G|MBOAT7|SLC25A11|PNPLA6|UCHL1|SLC22A17|CEP170B|NCDN|TRPM2|DRAP1|AP2M1|MAPK8IP2|GNG3|USP5|SLC17A7|NIPSNAP1|CALM3|SPOCK2|PDE2A|COPS7A|GABBR1|ARPC4|MFN2|DCTN1|HPCAL1|SYN2|RABAC1|AP3B2|SEMA4F|CDK5|AP2S1|NPDC1|CACNB1|ERGIC3|SYNGR1|CX3CL1|SMARCD3|RPS6KA4|TMEM59L|SH3GLB2|ITPKA|CORO1A|ATP6V1F|PKM|NECAB2|SRM|AGPAT1|AP2A2|CAPNS1|NBL1|ATP13A2|TLN2|FLOT1|PLD3|RNF187|GGA3|SNCB|FKBP8|SLC25A22|SLIT1|FXYD6|UBXN6|STX1A|ARF3|SYP|EIF3K|CLTB|PALM|TMEM151B|STRN4|PTPA|PDXK|ICAM5|SCAMP5|GP1BB|CAMK2B|RASL10A|SLC4A3|EPB41L1|PLPPR2|SIRPA|CABIN1|AGRN|ADGRB2|AK1|CDC34|TMEM109|NAPA|MGRN1|PSME3|DDA1|ARHGEF4|GRINA|ARHGDIA|SPTAN1|APLP2|KATNB1|HPCA
MOSET17,FOSTER_MITOCHONDRIA_PROTEINS,4.08241732035194e-24,2.64598962606239e-21,1.27091304449619,-0.569788147817158,-3.22415492440725,204,CPS1|NDUFS8|RPL38|COX6B1|EPHX2|COX5A|NDUFB10|NDUFB5|HEBP1|GOT2|NDUFS5|ENDOG|NDUFA5|COX6C|PRXL2A|MRPS7|NDUFA2|NDUFA13|COX7A2|SUOX|MRPL12|MRPL28|COX4I1|TUFM|VDAC1|NDUFS7|ALDH7A1|NDUFA9|GATD3A|NDUFB9|IDH3G|ALDH1A1|ATP5PB|PPA2|COX5B|FAAH|UQCRC1|AGXT|ALDH5A1|SDHB|SLC25A5|MPST|NIPSNAP1|MRPL27|HINT2|NDUFA10|BPHL|SLC25A4|TXNRD2|VDAC2|FDX1|GCAT|CHDH|PRDX5|IVD|ABAT|RPN1|UQCRFS1|CYC1|PRDX3|NIPSNAP3A|ACAA2|NDUFA7|UQCRB|VDAC3|TOMM22|OAT|ACO2|KRT10|SUCLG1|KRT19|DECR1|PSME1|OGDH|NDUFV1|AASS|MCEE|UQCRQ|TST|CS|CTH|LRRC59|NDUFAB1|ETFB|SLC25A22|PSAP|SLC25A3|DLST|ACOT2|NDUFA4|ECHS1|MTX2|SOD2|UQCRC2|NDUFS2|ABCD3|GSTK1|SRPRB|NDUFB3|MLYCD|GRPEL1|SLC25A10|GCDH|ACAT1|GPT2|KRT5|SCP2|KRT17|VAPB|NDUFA6|SARDH|HIBADH|NDUFS3|MACROD1|NCKAP1|GLUD1|HIBCH|PCCA|TRAP1|MRPS23|ALDH2|ACSL6|RPL11|HOGA1|ACOX1|GSTZ1|FIS1|IDH3A|HADHB|CAT|RPL37A|ACAD8|DMGDH|AADAT|SUCLA2|MGST1|IMMT|NDUFS1
MOSET7598,NAGY_2020_EX5,4.5354588575143e-21,2.5721721045678e-18,1.18665095279281,-0.433015316393095,-2.53393711128738,445,THY1|CHCHD10|TUBA1B|RTN1|COX6B1|PGAM1|TUBA4A|PRKAR1B|GNAS|TMEM130|CHGA|CMAS|REEP5|FXYD7|ELOB|PCSK1N|LDHB|NDUFA1|DMTN|SV2A|SULT4A1|STMN3|GOT1|NDUFA5|COX6C|SOD1|TUBA1A|ATP6V0A1|COX7A2|NEGR1|HINT1|NSF|SYT4|ENO1|BSG|CLSTN3|FAIM2|MAP2K1|PRKACB|ATP5MPL|COX4I1|SLC12A5|PHYHIP|GUK1|CKB|VDAC1|ATP1A3|RAB3C|UQCR10|DNM1|GAPDH|RAB3A|ATP9A|MDH1|HSPA8|CLU|ALDOA|ATL1|WASF1|SEZ6L2|COX5B|EIF1B|CEND1|TUBB2A|UCHL1|SLC22A17|OLFM1|MAP1A|DPP6|ACTG1|NCDN|UBC|BEX4|GNG3|PPP2R1A|SLC17A7|SYT1|CALM3|PCP4|SPOCK2|MAP1LC3A|DYNLL1|CHN1|YWHAB|SPARCL1|APLP1|YWHAQ|CYCS|NCAM1|KLC1|PAK1|MTCH1|SYN2|EIF1|RHBDD2|PIN1|ACTB|ITM2C|SELENOW|PCMT1|RTN3|NDRG4|ATP6V0E2|NEFL|SYNGR1|PLEKHB2|EEF1A2|TMEM59L|CNTN1|DHCR24|NAP1L2|ATP6V1F|MAPK1|TPPP|UBB|OCIAD1|CPE|LY6H|PKM|GABARAPL2|SUB1|TSPAN7|STMN1|TPI1|HSP90AA1|PEBP1|PLD3|PGRMC1|RAB6B|SNCB|FKBP8|NRXN3|ARL6IP5|PREPL|PSAP|CTNND2|NAT8L|SARAF|SNX10|NDUFA4|SYP|SRP14|DYNLL2|NORAD|NAPB|NPTN|PAK3|SOD2|RTL8C|YWHAH|SCN3B|ATP6AP2|SCAMP5|CDC42|YWHAG|ATP6V1B2|SNAP91|GABARAPL1|PPM1G|SKP1|TUBB4A|CAMK2B|GAP43|COX7C|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|SLC6A17|DYNC1H1|RAB1A|SIRPA|YWHAZ|NSG2|RTN4|SNX3|TMX4|NELL2|TMSB4X|ADGRB2|NCKAP1|MAST3|RAB11A|SLC9A6|UQCRH|TMEM160|PRKCE|LDHA|ABR|RPL41|PPP3CB|GHITM|TMA7|GNB1|CBX6|SPTAN1|APLP2|SCOC|LONRF2|WSB2|TSC22D1|CLASP2|CLSTN1|ATP1A1|RAB2A|PPP2CB|TMEM14A|ITM2B|MAPT|MARCKS|USP22|GABBR2|ATP6V1E1|HSPH1|GABRG2|EID1|SLC39A10|SYT11|TOLLIP|APP|NAP1L3|TLE5|NRCAM|MAP2K4|ARL8B|PAFAH1B1|GDI1
MOSET7189,LAKE_2018_EX3C_DE_EX_CLUSTERS,1.374267986147e-18,6.92783761460992e-16,1.11466447751729,-0.54862045696409,-3.07000143166045,168,THY1|TUBA1B|RTN1|PRKAR1B|GNAS|CHGA|REEP5|NDUFA1|DMTN|SV2A|SULT4A1|TUBA1A|HINT1|NSF|FAIM2|COX4I1|SLC12A5|PHYHIP|CKB|GAPDH|RAB3A|MDH1|CLU|ALDOA|TUBB2A|UCHL1|PGK1|OLFM1|MAP1A|CAMK2G|ACTG1|NCDN|UBC|BEX4|SLC17A7|CALM3|CHN1|YWHAB|SPARCL1|APLP1|KLC1|MTCH1|ACTB|SELENOW|RTN3|NDRG4|NEFL|SYNGR1|TMEM59L|NAP1L2|USP11|TPPP|UBB|PKM|BLCAP|TSPAN7|STMN1|TPI1|HSP90AA1|PEBP1|RAB6B|PREPL|PSAP|NAT8L|SARAF|NDUFA4|DYNLL2|TRIM37|NORAD|NAPB|NPTN|YWHAH|YWHAG|ATP6V1B2|TMEM30A|SKP1|COX7C|NDFIP1|ENO2|PRNP|MORF4L1|RTN4|MOAP1|TMSB4X|UQCRH|ABR|TSPYL4|GNB1|BMERB1|TSC22D1|CLSTN1|ATP1A1|ITM2B|USP22|HSPH1|SYT11|APP|TLE5
MOSET7154,LAKE_2018_EX3C,7.31547843423561e-18,3.3190325656127e-15,1.0864405425825,-0.497774723659592,-2.84033624135128,236,THY1|TUBA1B|RTN1|PRKAR1B|GNAS|TMEM130|CHGA|REEP5|NDUFA1|DMTN|SV2A|SULT4A1|TUBA1A|ATP6V0A1|HINT1|NSF|FAIM2|COX4I1|SLC12A5|PHYHIP|CKB|DNM1|GAPDH|RAB3A|MDH1|CLU|ALDOA|WASF1|TUBB2A|UCHL1|PGK1|OLFM1|MAP1A|CAMK2G|ACTG1|NCDN|UBC|BEX4|SLC17A7|SYT1|CALM3|RUFY3|CHN1|YWHAB|SPARCL1|APLP1|KLC1|PAK1|MTCH1|EIF1|ACTB|SELENOW|RTN3|NDRG4|NEFL|SYNGR1|CAMKV|TMEM59L|NAP1L2|MAPK1|USP11|TPPP|UBB|OCIAD1|CPE|PKM|BLCAP|TSPAN7|STMN1|TPI1|HSP90AA1|PEBP1|RAB6B|PREPL|PSAP|NAT8L|SARAF|NDUFA4|SYP|DYNLL2|TRIM37|NORAD|NAPB|NPTN|YWHAH|APBB1|SCAMP5|YWHAG|ATP6V1B2|TMEM30A|SKP1|CAMKK2|CAMK2B|GAP43|COX7C|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|SIRPA|RTN4|MOAP1|TMSB4X|NCKAP1|MAST3|UQCRH|ABR|NUDCD3|TSPYL4|PPP3CB|NGEF|GNB1|APLP2|LONRF2|BMERB1|TSC22D1|CLSTN1|ATP1A1|RAB2A|ITM2B|USP22|HSPH1|GABRG2
MOSET7249,MATHYS_2019_EX8_DE_SUBTYPE_CLUSTERS,1.11578214115061e-17,4.60209415854575e-15,1.0864405425825,-0.537718407016729,-3.02249010821317,174,THY1|TUBA1B|RTN1|PGAM1|TUBA4A|PRKAR1B|GNAS|TMEM130|PCSK1N|SV2A|SULT4A1|STMN3|SOD1|TUBA1A|HINT1|NSF|BSG|FAIM2|PRKACB|SLC12A5|PHYHIP|CKB|DNM1|GAPDH|RAB3A|MDH1|CLU|ALDOA|ATL1|SEZ6L2|TUBB2A|UCHL1|SLC22A17|CAMK2G|ACTG1|BEX4|ATP6V0B|PPP2R1A|SLC17A7|SYT1|CALM3|SPOCK2|DYNLL1|CHN1|YWHAB|SPARCL1|EIF1|RHBDD2|ACTB|SELENOW|RTN3|NDRG4|NEFL|TMEM59L|MAPK1|OCIAD1|LY6H|PKM|TSPAN7|STMN1|HSP90AA1|PEBP1|PLD3|PGRMC1|RAB6B|SNCB|ARL6IP5|PSAP|SLC25A3|SARAF|NDUFA4|SYP|NAPB|RTL8C|YWHAH|SCAMP5|YWHAG|CAMK2B|NDFIP1|ENO2|PRNP|MORF4L1|CLTC|PPIA|DYNC1H1|SIRPA|YWHAZ|NSG2|RTN4|TMSB4X|DDX24|UQCRH|GHITM|GNB1|APLP2|CLSTN1|ITM2B|MAPT|ATP6V1E1|HSPH1|EID1|SYT11|TOLLIP|APP|TLE5|GNAO1
MOSET12,FOSTER_CYTOPLASM_PROTEINS,4.42307008866748e-17,1.67228908269036e-14,1.06720998682811,-0.468495708461635,-2.69614242526262,282,CPS1|SHPK|GSTT1|GAMT|MIF|RPS16|EPHX2|PGAM1|ATOX1|APOA2|GSTM3|PAPSS2|GALK1|NDUFB5|PRDX6|GSTP1|FTCD|GOT1|ALDH1L1|SOD1|STBD1|UPB1|ALAD|ASL|DDAH1|HINT1|NME1|ENO1|HAGH|GSTM1|EIF3G|ALDH7A1|HSPA4|MDH1|ALDH1A1|VAT1|PSMA5|AGXT|TUBB3|PGK1|PARK7|OTUB1|PKLR|FDPS|USP5|PPP2R1A|CAPZB|DDC|YWHAB|PRDX5|TKT|UBA1|GPS1|SCAMP3|PSMB7|PRDX2|CCT7|IMPDH2|ACTB|GSTO1|CNDP2|MGLL|PGM1|CKM|NAT1|OPLAH|EIF3D|SORD|DPP3|PVALB|COPS4|SPR|CTH|SRM|TPI1|SEPHS2|HSP90AA1|ANXA7|PEBP1|NME2|BLVRB|NDRG2|GSTT2|PFKM|EIF3I|CMPK1|ACOT2|MTAP|RPS20|EEF1D|PDCD6|PDXK|RPS29|LASP1|TALDO1|YWHAG|PNPO|APEH|WDR1|AKR1A1|GSS|UCHL3|GPT|SEC14L4|CBR1|GPT2|ACY1|ARG1|GPX1|SEC14L2|GDI2|PPIA|GSTA4|RIDA|COASY|DERA|HIBCH|LDHA|CSAD|GPD1L|AHCY|ALDH2|TPM1|EIF4H|ARHGDIA|OLA1|GSTM2|DPYS|ADH5|HMGCS1|GSTZ1|APOA1|ACTN4|EIF4A1|PHPT1|AOX1|TPMT|ATIC|GK|HACL1|FKBP4|ALDH9A1|RAB11B|DBI|LAP3|QPRT|LTA4H|KHK|ANXA6|GRHPR|FAH|ALDH1B1|ST13|RNH1|ACLY|PAICS|GNE|CAP1|GCKR|USO1|SELENBP1|GDI1|NSFL1C|OSTF1|MTHFD1|SDS|TKFC|PGD|GCLM|IDI1|UBE2N|IDH1|DDT|CAPZA2|SFN|ARF4|PSMD8|AP1M1|DSTN|PREP|ATP6V1A|ACTN1|CFL2|HSP90AB1|ARPC5|PCYT2|SET|ACP1|UGDH|HPGD|ALDOC
MOSET7153,LAKE_2018_EX3B,5.8483656735719e-16,2.04107962007659e-13,1.02766987054358,-0.404751208482545,-2.3645072140555,416,THY1|LINGO2|TUBA1B|SLC6A7|RTN1|SYT13|TUBA4A|TAFA1|CLTA|PRKAR1B|NCEH1|GNAS|CHGA|REEP5|LDHB|NDUFA1|DMTN|CNTNAP1|SULT4A1|STMN3|GOT1|COX6C|RANGAP1|TUBA1A|ATP6V0A1|NEGR1|HINT1|B4GAT1|NSF|SYT4|CLSTN3|FAIM2|MAP2K1|ATP5MPL|COX4I1|SLC12A5|PHYHIP|GUK1|CKB|TAFA2|DNM1|GAPDH|RAB3A|TTC39C|MDH1|PTPRT|ALDOA|CEND1|TUBB2A|REEP2|UCHL1|PGK1|OLFM1|MAP1A|CAMK2G|ACTG1|NCDN|CNTN5|UBC|BEX4|ATP6V0B|FAM217B|PPP2R1A|SLC17A7|CALM3|PCP4|SPOCK2|LRFN5|DYNLL1|CHN1|YWHAB|SPARCL1|KLC1|PAK1|MTCH1|EIF1|ACTB|ATP6AP1|ITM2C|SELENOW|PCMT1|RTN3|NDRG4|NEFL|SYNGR1|PLEKHB2|CAMKV|EEF1A2|RPLP1|NAP1L2|USP11|TPPP|UBB|OCIAD1|PKM|TSPAN7|STMN1|TPI1|PEBP1|PLD3|RNF187|RAB6B|SNCB|ARL6IP5|PREPL|PSAP|SUGP2|SLC25A3|NAT8L|GNB5|CACNA2D3|NDUFA4|DYNLL2|TRIM37|NORAD|NAPB|NPTN|YWHAH|NDUFS2|ATP6AP2|SCAMP5|GABRD|YWHAG|FAM81A|ATP6V1B2|GABARAPL1|TMEM30A|KHDRBS2|SKP1|SYT7|CAMKK2|PARM1|HS6ST3|CAMK2B|GAP43|TSPAN13|HSPA12A|COX7C|NDFIP1|ENO2|KCNH3|PRNP|MORF4L1|CLTC|EPB41L1|PPIA|NDFIP2|SLC6A17|YWHAZ|NSG2|MOAP1|NELL2|PRMT8|DDX24|MAST3|UQCRH|TMEM160|ABR|GRM7|PKNOX2|NUDCD3|BRINP3|DCAF6|TPM1|TSPYL4|PPP3CB|GRINA|TMEM178B|RIMS3|NGEF|UNC5D|GLRB|GNB1|UNC13A|VPS41|CAMKK1|STMN4|BMERB1|TSC22D1|CLSTN1|ATP1A1|LRRK2|ITM2B|USP22|GABBR2|ATP6V1E1|HSPH1|GABRG2
